縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註
台南市,V-17,大營橋,314,800,E120.31842,N23.10917,台1線,曾文溪橋南端,新市,310,274,318,0,平原區,7.70,26.8,南,3.7,3.7,,,,4.5,,1.5,"5,345",100,325,21,265,"4,395","10,451","9,918","80,473","1,101",17,18,0.51 ,四
台南市,V-18,高鐵橋下,321,800,E120.28794,N23.06549,台1線,新市,國道８,318,0,322,600,平原區,4.60,29.0,北,3.5,3.5,3.5,,,2.0,,2.0,"9,677",65,80,18,236,"6,060","16,136","14,899","74,226","1,482",17,18,0.51 ,四
台南市,V-18,高鐵橋下,321,800,E120.28794,N23.06549,台1線,新市,國道８,318,0,322,600,平原區,4.60,29.0,南,3.5,3.5,3.5,,,2.0,,2.0,"9,229",113,104,10,174,"5,165","14,795","13,723","68,057","1,518",7,8,0.51 ,四
台南市,V-19,豐化橋,323,300,E120.27621,N23.05767,台1線,國道８,竹子橋,322,600,324,800,平原區,2.20,20.8,北,3.5,3.5,,,,2.0,,1.4,"10,982",105,489,25,396,"11,317","23,314","21,059","51,291","1,655",6,7,0.66 ,四
台南市,V-19,豐化橋,323,300,E120.27621,N23.05767,台1線,國道８,竹子橋,322,600,324,800,平原區,2.20,20.8,南,3.5,3.5,,,,2.0,,1.4,"11,047",97,550,43,391,"12,610","24,738","22,147","54,424","3,225",17,18,0.66 ,四
台南市,V-20,蔦松橋,326,200,E120.25414,N23.04192,台1線,竹子橋,永康交流道,324,800,326,200,平原區,1.40,23.0,北,3.5,3.5,,,,2.0,,2.5,"16,852",103,807,81,568,"6,190","24,601","24,498","34,441","2,169",17,18,0.55 ,四
台南市,V-20,蔦松橋,326,200,E120.25414,N23.04192,台1線,竹子橋,永康交流道,324,800,326,200,平原區,1.40,23.0,南,3.5,3.5,,,,2.0,,2.5,"16,241",109,824,64,642,"5,245","23,125","23,431","32,375","1,744",17,18,0.55 ,四
台南市,V-21,鹽行派出所,327,250,E120.24027,N23.04154,台1線,永康交流道,六甲頂,326,200,329,900,平原區,3.70,20.0,北,3.5,3.5,,,,2.0,,1.0,"17,319",317,472,14,267,"9,792","28,181","26,200","104,270","2,039",17,18,0.52 ,四
台南市,V-21,鹽行派出所,327,250,E120.24027,N23.04154,台1線,永康交流道,六甲頂,326,200,329,900,平原區,3.70,20.0,南,3.5,3.5,,,,2.0,,1.0,"16,687",275,497,12,265,"8,520","26,256","24,641","97,147","1,854",14,15,0.52 ,四
台南市,V-22,鐵路路橋,331,500,E120.22583,N23.01875,台1線,六甲頂,台２０線,329,900,331,700,平原區,1.80,19.0,北,3.5,3.5,,,,2.0,,0.5,"16,670",186,233,0,36,"22,916","40,041","33,448","72,074","3,046",17,18,0.52 ,四
台南市,V-22,鐵路路橋,331,500,E120.22583,N23.01875,台1線,六甲頂,台２０線,329,900,331,700,平原區,1.80,19.0,南,3.5,3.5,,,,2.0,,0.5,"13,772",192,212,1,27,"22,869","37,073","30,470","66,731","2,763",7,8,0.52 ,四
台南市,V-23,五王廟前,333,300,E120.23406,N23.00814,台1線,台２０線,東門路,331,700,333,800,平原區,2.10,24.0,北,3.5,3.5,,,,2.0,,3.0,"13,826",111,112,0,15,"17,477","31,541","26,440","66,236","1,882",7,8,0.51 ,四
台南市,V-23,五王廟前,333,300,E120.23406,N23.00814,台1線,台２０線,東門路,331,700,333,800,平原區,2.10,24.0,南,3.5,3.5,,,,2.0,,3.0,"12,647",90,139,0,22,"15,036","27,934","23,582","58,661","1,808",17,18,0.51 ,四
台南市,V-24,關帝廟前,335,850,E120.23289,N22.98497,台1線,東門路,後甲圓環,333,800,335,800,平原區,2.00,23.0,北,3.5,3.5,,,,3.0,,1.5,"12,328",97,88,0,6,"12,920","25,439","21,668","50,878","2,007",17,18,0.54 ,四
台南市,V-24,關帝廟前,335,850,E120.23289,N22.98497,台1線,東門路,後甲圓環,333,800,335,800,平原區,2.00,23.0,南,3.5,3.5,,,,3.0,,1.5,"11,630",102,114,0,2,"11,018","22,866","19,673","45,732","1,741",7,8,0.54 ,四
台南市,V-25,文化中心,337,450,E120.22144,N22.97389,台1線,後甲圓環,大同路,335,800,337,700,平原區,1.90,24.0,北,3.5,3.5,,,,3.0,,2.0,"11,211",101,67,0,28,"10,299","21,706","18,757","41,241","1,617",7,8,0.51 ,四
台南市,V-25,文化中心,337,450,E120.22144,N22.97389,台1線,後甲圓環,大同路,335,800,337,700,平原區,1.90,24.0,南,3.5,3.5,,,,3.0,,2.0,"10,317",82,68,0,33,"9,846","20,346","17,533","38,657","1,559",18,19,0.51 ,四
台南市,V-26,牛稠仔,340,200,E120.21628,N22.96467,台1線,大同路,台８６線,337,700,343,0,平原區,5.30,24.0,北,3.5,3.5,,,,3.0,,2.0,"13,218",150,249,1,56,"16,831","30,505","25,770","161,677","2,777",18,19,0.54 ,四
台南市,V-26,牛稠仔,340,200,E120.21628,N22.96467,台1線,大同路,台８６線,337,700,343,0,平原區,5.30,24.0,南,3.5,3.5,,,,3.0,,2.0,"10,348",133,175,1,52,"9,576","20,285","17,673","107,511","2,352",7,8,0.54 ,四
台南市,V-27,二層行橋,344,560,E120.22597,N22.91694,台1線,台８６線,高雄市界,343,0,344,949,平原區,1.90,26.0,北,3.5,3.5,3.5,,,2.0,,0.5,"11,422",81,383,3,102,"11,658","23,649","20,595","44,933","2,282",7,8,0.53 ,四
台南市,V-27,二層行橋,344,560,E120.22597,N22.91694,台1線,台８６線,高雄市界,343,0,344,949,平原區,1.90,26.0,南,3.5,3.5,3.5,,,2.0,,0.5,"10,801",82,373,8,101,"9,990","21,355","18,804","40,575","2,056",7,8,0.53 ,四
雲林縣,V-28,新榮橋,4,0,E120.519982,N23.730543,台1丁線,莿桐,斗六,0,0,7,250,平原區,7.20,16.8,北,3.7,3.7,,,,,,1.0,"7,946",120,202,10,192,"3,501","11,971","11,136","87,388","1,413",7,8,0.54 ,四
雲林縣,V-28,新榮橋,4,0,E120.519982,N23.730543,台1丁線,莿桐,斗六,0,0,7,250,平原區,7.20,16.8,南,3.7,3.7,,,,,,1.0,"8,720",138,203,1,207,"3,623","12,892","12,030","94,112","1,191",17,18,0.54 ,四
雲林縣,V-29,新光陸橋,12,750,E120.490098,N23.683992,台1丁線,斗六,斗南,7,250,14,11,平原區,6.80,19.4,北,3.5,3.5,,,,2.0,,0.4,"9,022",97,111,5,80,"4,370","13,685","12,649","93,058","1,395",7,8,0.52 ,四
雲林縣,V-29,新光陸橋,12,750,E120.490098,N23.683992,台1丁線,斗六,斗南,7,250,14,11,平原區,6.80,19.4,南,3.5,3.5,,,,2.0,,1.0,"8,279",84,141,6,73,"3,899","12,482","11,583","84,878","1,286",17,18,0.52 ,四
雲林縣,V-30,北林內陸橋,239,500,E120.633538,N23.771975,台3線,南雲大橋南端,林內,236,940,245,700,平原區,8.80,16.1,北,3.7,3.7,,,,,,0.8,"2,416",7,68,2,65,573,"3,131","3,074","27,553",295,7,8,0.54 ,四
雲林縣,V-30,北林內陸橋,239,500,E120.633538,N23.771975,台3線,南雲大橋南端,林內,236,940,245,700,平原區,8.80,16.1,南,3.7,3.7,,,,,,0.5,"2,478",3,32,2,85,488,"3,088","3,085","27,174",347,17,18,0.54 ,四
雲林縣,V-31,海豐崙橋,249,0,E120.563930,N23.715370,台3線,林內,斗六,245,700,253,200,平原區,7.50,21.4,北,3.7,3.5,,,,2.0,,1.5,"9,556",47,219,3,21,"6,843","16,689","14,818","125,168","1,493",11,12,0.59 ,日
雲林縣,V-31,海豐崙橋,249,0,E120.563930,N23.715370,台3線,林內,斗六,245,700,253,200,平原區,7.50,21.4,南,3.7,3.5,,,,2.0,,1.5,"9,942",59,234,7,25,"7,526","17,793","15,746","133,448","2,180",7,8,0.59 ,日
雲林縣,V-32,仰山橋,255,750,E120.537725,N23.675210,台3線,斗六,溝壩,253,200,256,700,平原區,3.50,19.0,北,3.5,3.5,,,,,,2.5,"11,040",72,155,2,62,"2,739","14,070","13,216","49,245","1,310",14,15,0.52 ,日
雲林縣,V-32,仰山橋,255,750,E120.537725,N23.675210,台3線,斗六,溝壩,253,200,256,700,平原區,3.50,19.0,南,3.5,3.5,,,,,,2.5,"10,900",80,173,2,37,"2,993","14,185","13,193","49,648","1,411",12,13,0.52 ,日
雲林縣,V-33,永光,261,500,E120.549655,N23.625463,台3線,溝壩,永光,256,700,261,300,平原區,4.60,20.4,北,3.5,3.5,,,,2.0,,1.0,"3,247",60,125,1,38,"1,079","4,550","4,397","20,930",562,15,16,0.53 ,日
雲林縣,V-33,永光,261,500,E120.549655,N23.625463,台3線,溝壩,永光,256,700,261,300,平原區,4.60,20.4,南,3.5,3.5,,,,2.6,,0.8,"2,858",71,101,1,45,918,"3,994","3,898","18,372",508,15,16,0.53 ,日
雲林縣,V-34,興昌國小,263,500,E120.53809,N23.61193,台3線,永光,雲祥橋南端,261,300,265,998,平原區,4.70,12.2,北,3.6,,,,,2.0,,0.5,"2,508",35,67,1,29,711,"3,351","3,158","15,750",372,17,18,0.61 ,日
雲林縣,V-34,興昌國小,263,500,E120.53809,N23.61193,台3線,永光,雲祥橋南端,261,300,265,998,平原區,4.70,12.2,南,3.6,,,,,2.0,,0.5,"2,163",50,88,1,12,670,"2,984","2,813","14,025",236,17,18,0.61 ,日
嘉義縣,V-35,尾庄,267,508,E120.54088,N23.59025,台3線,雲嘉縣界,梅山,265,998,268,800,平原區,2.80,11.8,北,3.4,,,,,2.2,,0.3,"6,237",66,250,0,5,"1,417","7,975","7,593","22,330",781,16,17,0.59 ,日
嘉義縣,V-35,尾庄,267,508,E120.54088,N23.59025,台3線,雲嘉縣界,梅山,265,998,268,800,平原區,2.80,11.8,南,3.4,,,,,2.2,,0.3,"5,989",67,195,0,9,"1,312","7,572","7,196","21,202",535,16,17,0.59 ,日
嘉義縣,V-36,梅山市場,269,165,E120.55875,N23.58172,台3線,梅山,梅山市場,268,800,269,500,平原區,0.70,10.9,北,3.3,,,,,1.8,,0.3,"2,530",22,30,0,0,"3,150","5,732","4,209","4,012",406,9,10,0.51 ,日
嘉義縣,V-36,梅山市場,269,165,E120.55875,N23.58172,台3線,梅山,梅山市場,268,800,269,500,平原區,0.70,10.9,南,3.0,,,,,1.8,,0.7,"2,588",34,19,0,0,"2,772","5,413","4,080","3,789",395,9,10,0.51 ,日
嘉義縣,V-37,竹崎大橋,277,350,E120.54613,N23.52497,台3線,梅山市場,竹崎,269,500,277,350,平原區,7.80,11.1,北,3.0,,,,,2.0,,0.3,"2,297",25,28,0,3,"1,729","4,082","3,277","32,248",324,15,16,0.54 ,日
嘉義縣,V-37,竹崎大橋,277,350,E120.54613,N23.52497,台3線,梅山市場,竹崎,269,500,277,350,平原區,7.80,11.1,南,3.0,,,,,2.0,,0.8,"2,130",25,24,0,1,"1,415","3,595","2,939","28,401",274,15,16,0.54 ,日
嘉義縣,V-38,興產橋,280,334,E120.53536,N23.50041,台3線,竹崎,鹿滿,277,350,280,650,平原區,3.30,12.3,北,3.5,3.0,,,,,,0.2,"6,539",72,34,1,11,"3,322","9,979","8,727","32,931",743,17,18,0.53 ,四
嘉義縣,V-38,興產橋,280,334,E120.53536,N23.50041,台3線,竹崎,鹿滿,277,350,280,650,平原區,3.30,12.3,南,3.4,,,,,2.0,,0.2,"6,094",51,31,1,8,"3,567","9,752","8,069","32,182",656,17,18,0.53 ,四
嘉義縣,V-39,吳鳳橋,286,650,E120.53025,N23.45358,台3線,鹿滿,隆興,280,650,287,351,平原區,6.70,16.8,北,3.5,3.4,,,,,,1.5,"3,668",11,125,0,51,"1,072","4,927","4,669","33,011",415,17,18,0.52 ,四
嘉義縣,V-39,吳鳳橋,286,650,E120.53025,N23.45358,台3線,鹿滿,隆興,280,650,287,351,平原區,6.70,16.8,南,3.5,3.4,,,,,,1.5,"3,548",12,165,0,32,"1,205","4,962","4,633","33,245",380,11,12,0.52 ,四
嘉義縣,V-40,中埔橋,291,256,E120.51744,N23.41680,台3線,隆興,同仁,287,351,290,700,丘陵區,3.30,11.8,北,3.4,,,,,2.2,,0.3,"2,534",23,52,0,2,"1,206","3,817","3,372","12,596",291,17,18,0.55 ,四
嘉義縣,V-40,中埔橋,291,256,E120.51744,N23.41680,台3線,隆興,同仁,287,351,290,700,丘陵區,3.30,11.8,南,3.4,,,,,2.2,,0.3,"2,610",20,48,0,0,"1,134","3,812","3,381","12,580",354,17,18,0.55 ,四
嘉義縣,V-41,得道橋,295,100,E120.52688,N23.38436,台3線,同仁,沄水,290,700,295,89,山嶺區,4.40,7.3,北,3.3,,,,,,,0.3,971,31,11,0,0,250,"1,263","1,917","5,557",402,17,18,0.58 ,六
嘉義縣,V-41,得道橋,295,100,E120.52688,N23.38436,台3線,同仁,沄水,290,700,295,89,山嶺區,4.40,7.3,南,3.0,,,,,,,0.7,"1,026",25,14,0,0,257,"1,322","1,991","5,817",297,17,18,0.58 ,六
嘉義縣,V-42,和平一號橋,334,782,E120.61263,N23.30677,台3線,沄水,大埔,295,89,352,700,山嶺區,57.60,7.1,北,3.0,,,,,,,0.3,503,4,5,0,0,176,688,976,"39,629",104,10,11,0.58 ,日
嘉義縣,V-42,和平一號橋,334,782,E120.61263,N23.30677,台3線,沄水,大埔,295,89,352,700,山嶺區,57.60,7.1,南,3.0,,,,,,,0.8,478,2,12,0,1,202,695,996,"40,032",141,10,11,0.58 ,日
嘉義縣,V-43,四維橋,353,549,E120.55477,N23.22575,台3線,大埔,雙溪,352,700,365,450,山嶺區,12.80,7.0,北,3.2,,,,,,,0.2,329,6,17,0,2,146,500,769,"6,400",171,11,12,0.59 ,日
嘉義縣,V-43,四維橋,353,549,E120.55477,N23.22575,台3線,大埔,雙溪,352,700,365,450,山嶺區,12.80,7.0,南,3.4,,,,,,,0.2,349,5,15,0,1,161,531,792,"6,797",120,11,12,0.59 ,日
臺南市,V-44,楠西北橋,366,357,E120.49100,N23.18613,台3線,雙溪,竹圍,365,450,371,516,丘陵區,6.10,23.1,北,3.7,3.7,,,,2.4,,1.5,635,8,23,0,5,351,"1,022",968,"6,234",143,10,11,0.50 ,日
臺南市,V-44,楠西北橋,366,357,E120.49100,N23.18613,台3線,雙溪,竹圍,365,450,371,516,丘陵區,6.10,23.1,南,3.7,3.7,,,,2.4,,2.0,699,6,22,0,4,340,"1,071","1,013","6,533",141,16,17,0.50 ,日
臺南市,V-45,竹圍橋,372,431,E120.47775,N23.13522,台3線,竹圍,玉井,371,516,375,300,丘陵區,3.80,20.8,北,3.5,3.5,,,,,,3.4,"3,404",34,116,0,63,"1,040","4,657","4,643","17,697",475,11,12,0.51 ,六
臺南市,V-45,竹圍橋,372,431,E120.47775,N23.13522,台3線,竹圍,玉井,371,516,375,300,丘陵區,3.80,20.8,南,3.5,3.5,,,,,,3.4,"2,729",28,91,0,61,304,"3,213","3,454","12,209",448,16,17,0.51 ,六
臺南市,V-46,高陵橋,376,580,E120.47602,N23.11175,台3線,玉井,北寮,375,300,383,738,丘陵區,8.50,15.4,北,3.5,3.5,,,,,,0.4,"3,519",26,217,0,137,"1,213","5,112","5,418","43,452",495,14,15,0.52 ,日
臺南市,V-46,高陵橋,376,580,E120.47602,N23.11175,台3線,玉井,北寮,375,300,383,738,丘陵區,8.50,15.4,南,3.5,3.5,,,,,,1.0,"3,385",39,215,1,125,"1,434","5,199","5,383","44,192",527,8,9,0.52 ,日
臺南市,V-47,彩鳳橋,384,876,E120.48425,N23.4741,台3線,北寮,南化,383,738,385,907,丘陵區,2.20,16.0,北,3.5,3.7,,,,,,0.8,"2,363",24,90,0,64,949,"3,490","3,480","7,678",395,15,16,0.55 ,日
臺南市,V-47,彩鳳橋,384,876,E120.48425,N23.4741,台3線,北寮,南化,383,738,385,907,丘陵區,2.20,16.0,南,3.5,4.0,,,,,,0.5,"2,153",19,90,0,70,868,"3,200","3,242","7,040",320,10,11,0.55 ,日
臺南市,V-48,西山橋,386,966,E120.47391,N23.3041,台3線,南化,金馬寮,385,907,389,282,山嶺區,3.40,15.6,北,3.5,3.5,,,,,,1.0,"1,419",16,57,0,53,560,"2,105","3,352","7,157",452,16,17,0.53 ,日
臺南市,V-48,西山橋,386,966,E120.47391,N23.3041,台3線,南化,金馬寮,385,907,389,282,山嶺區,3.40,15.6,南,3.5,3.5,,,,,,0.6,"1,361",15,69,0,67,583,"2,095","3,430","7,123",520,10,11,0.53 ,日
雲林縣,V-49,海豐橋,81,200,E120.244575,N23.739673,台17線,西濱大橋南端,台西,71,282,90,200,平原區,18.90,16.6,北,3.5,3.5,,,,,,1.3,"2,335",25,62,0,35,"1,304","3,761","3,353","71,083",395,17,18,0.52 ,四
雲林縣,V-49,海豐橋,81,200,E120.244575,N23.739673,台17線,西濱大橋南端,台西,71,282,90,200,平原區,18.90,16.6,南,3.5,3.5,,,,,,1.3,"2,501",28,76,1,48,"1,378","4,032","3,631","76,205",360,7,8,0.52 ,四
